MarketingAirline,TotalFlights,OnTimeFlights,DelayedFlights,DelayPercentage,OnTimePercentage
Alaska Airlines Group,26212,20960,5252,20.04,79.96
Allegiant Air,11031,8457,2574,23.33,76.67
American Airlines Group,163482,129735,33747,20.64,79.36
Delta Air Lines Group,155976,131258,24718,15.85,84.15
Frontier Airlines,17324,11991,5333,30.78,69.22
Hawaiian Airlines,6455,5670,785,12.16,87.84
JetBlue Airways,21565,15120,6445,29.89,70.11
Southwest Airlines,125272,97296,27976,22.33,77.67
Spirit Airlines,22885,16357,6528,28.53,71.47
United Airlines Group,134828,111800,23028,17.08,82.92
